scenario,delta,temps_reduit,rayon_reduit,energie_reduite
sans_germe,1.2,29.400000000000002,0.0,0.0
sans_germe,1.2,29.5,0.0,0.0
sans_germe,1.2,29.6,0.0,0.0
sans_germe,1.2,29.7,0.0,0.0
sans_germe,1.2,29.8,0.0,0.0
sans_germe,1.2,29.900000000000002,0.0,0.0
sans_germe,1.2,30.0,0.0,0.0
sans_germe,1.2,30.1,0.0,0.0
sans_germe,1.2,30.2,0.0,0.0
sans_germe,1.2,30.3,0.0,0.0
sans_germe,1.2,30.400000000000002,0.0,0.0
sans_germe,1.2,30.5,0.0,0.0
sans_germe,1.2,30.6,0.0,0.0
sans_germe,1.2,30.7,0.0,0.0
sans_germe,1.2,30.8,0.0,0.0
sans_germe,1.2,30.900000000000002,0.0,0.0
sans_germe,1.2,31.0,0.0,0.0
sans_germe,1.2,31.1,0.0,0.0
sans_germe,1.2,31.2,0.0,0.0
sans_germe,1.2,31.3,0.0,0.0
sans_germe,1.2,31.400000000000002,0.0,0.0
sans_germe,1.2,31.5,0.0,0.0
sans_germe,1.2,31.6,0.0,0.0
sans_germe,1.2,31.7,0.0,0.0
sans_germe,1.2,31.8,0.0,0.0
sans_germe,1.2,31.900000000000002,0.0,0.0
sans_germe,1.2,32.0,0.0,0.0
sans_germe,1.2,32.1,0.0,0.0
sans_germe,1.2,32.2,0.0,0.0
sans_germe,1.2,32.3,0.0,0.0
sans_germe,1.2,32.4,0.0,0.0
sans_germe,1.2,32.5,0.0,0.0
sans_germe,1.2,32.6,0.0,0.0
sans_germe,1.2,32.7,0.0,0.0
sans_germe,1.2,32.8,0.0,0.0
sans_germe,1.2,32.9,0.0,0.0
sans_germe,1.2,33.0,0.0,0.0
sans_germe,1.2,33.1,0.0,0.0
sans_germe,1.2,33.2,0.0,0.0
sans_germe,1.2,33.3,0.0,0.0
sans_germe,1.2,33.4,0.0,0.0
sans_germe,1.2,33.5,0.0,0.0
sans_germe,1.2,33.6,0.0,0.0
sans_germe,1.2,33.7,0.0,0.0
sans_germe,1.2,33.8,0.0,0.0
sans_germe,1.2,33.9,0.0,0.0
sans_germe,1.2,34.0,0.0,0.0
sans_germe,1.2,34.1,0.0,0.0
sans_germe,1.2,34.2,0.0,0.0
sans_germe,1.2,34.300000000000004,0.0,0.0
sans_germe,1.2,34.4,0.0,0.0
sans_germe,1.2,34.5,0.0,0.0
sans_germe,1.2,34.6,0.0,0.0
sans_germe,1.2,34.7,0.0,0.0
sans_germe,1.2,34.800000000000004,0.0,0.0
sans_germe,1.2,34.9,0.0,0.0
sans_germe,1.2,35.0,0.0,0.0
sans_germe,1.2,35.1,0.0,0.0
sans_germe,1.2,35.2,0.0,0.0
sans_germe,1.2,35.300000000000004,0.0,0.0
sans_germe,1.2,35.4,0.0,0.0
sans_germe,1.2,35.5,0.0,0.0
sans_germe,1.2,35.6,0.0,0.0
sans_germe,1.2,35.7,0.0,0.0
sans_germe,1.2,35.800000000000004,0.0,0.0
sans_germe,1.2,35.9,0.0,0.0
sans_germe,1.2,36.0,0.0,0.0
sans_germe,1.2,36.1,0.0,0.0
sans_germe,1.2,36.2,0.0,0.0
sans_germe,1.2,36.300000000000004,0.0,0.0
sans_germe,1.2,36.4,0.0,0.0
sans_germe,1.2,36.5,0.0,0.0
sans_germe,1.2,36.6,0.0,0.0
sans_germe,1.2,36.7,0.0,0.0
sans_germe,1.2,36.800000000000004,0.0,0.0
sans_germe,1.2,36.9,0.0,0.0
sans_germe,1.2,37.0,0.0,0.0
sans_germe,1.2,37.1,0.0,0.0
sans_germe,1.2,37.2,0.0,0.0
sans_germe,1.2,37.300000000000004,0.0,0.0
sans_germe,1.2,37.4,0.0,0.0
sans_germe,1.2,37.5,0.0,0.0
sans_germe,1.2,37.6,0.0,0.0
sans_germe,1.2,37.7,0.0,0.0
sans_germe,1.2,37.800000000000004,0.0,0.0
sans_germe,1.2,37.9,0.0,0.0
sans_germe,1.2,38.0,0.0,0.0
sans_germe,1.2,38.1,0.0,0.0
sans_germe,1.2,38.2,0.0,0.0
sans_germe,1.2,38.300000000000004,0.0,0.0
sans_germe,1.2,38.4,0.0,0.0
sans_germe,1.2,38.5,0.0,0.0
sans_germe,1.2,38.6,0.0,0.0
sans_germe,1.2,38.7,0.0,0.0
sans_germe,1.2,38.800000000000004,0.0,0.0
sans_germe,1.2,38.9,0.0,0.0
sans_germe,1.2,39.0,0.0,0.0
sans_germe,1.2,39.1,0.0,0.0
sans_germe,1.2,39.2,0.0,0.0
sans_germe,1.2,39.300000000000004,0.0,0.0
sans_germe,1.2,39.4,0.0,0.0
sans_germe,1.2,39.5,0.0,0.0
sans_germe,1.2,39.6,0.0,0.0
sans_germe,1.2,39.7,0.0,0.0
sans_germe,1.2,39.800000000000004,0.0,0.0
sans_germe,1.2,39.9,0.0,0.0
sans_germe,1.2,40.0,0.0,0.0
sans_germe,1.2,40.1,0.0,0.0
sans_germe,1.2,40.2,0.0,0.0
sans_germe,1.2,40.300000000000004,0.0,0.0
sans_germe,1.2,40.4,0.0,0.0
sans_germe,1.2,40.5,0.0,0.0
sans_germe,1.2,40.6,0.0,0.0
sans_germe,1.2,40.7,0.0,0.0
sans_germe,1.2,40.800000000000004,0.0,0.0
sans_germe,1.2,40.9,0.0,0.0
sans_germe,1.2,41.0,0.0,0.0
sans_germe,1.2,41.1,0.0,0.0
sans_germe,1.2,41.2,0.0,0.0
sans_germe,1.2,41.300000000000004,0.0,0.0
sans_germe,1.2,41.4,0.0,0.0
sans_germe,1.2,41.5,0.0,0.0
sans_germe,1.2,41.6,0.0,0.0
sans_germe,1.2,41.7,0.0,0.0
sans_germe,1.2,41.800000000000004,0.0,0.0
sans_germe,1.2,41.9,0.0,0.0
sans_germe,1.2,42.0,0.0,0.0
sans_germe,1.2,42.1,0.0,0.0
sans_germe,1.2,42.2,0.0,0.0
sans_germe,1.2,42.300000000000004,0.0,0.0
sans_germe,1.2,42.4,0.0,0.0
sans_germe,1.2,42.5,0.0,0.0
sans_germe,1.2,42.6,0.0,0.0
sans_germe,1.2,42.7,0.0,0.0
sans_germe,1.2,42.800000000000004,0.0,0.0
sans_germe,1.2,42.9,0.0,0.0
sans_germe,1.2,43.0,0.0,0.0
sans_germe,1.2,43.1,0.0,0.0
sans_germe,1.2,43.2,0.0,0.0
sans_germe,1.2,43.300000000000004,0.0,0.0
sans_germe,1.2,43.4,0.0,0.0
sans_germe,1.2,43.5,0.0,0.0
sans_germe,1.2,43.6,0.0,0.0
sans_germe,1.2,43.7,0.0,0.0
sans_germe,1.2,43.800000000000004,0.0,0.0
sans_germe,1.2,43.9,0.0,0.0
