germe,alpha,J,temps,n,q,A,Delta_S_interne_sur_kB
alpha_-0.4_J_0.1,-0.4,0.1,15.3,0.47655615239000576,0.0009967748744193245,0.12344384760999427,1.98712030054732e-06
alpha_-0.4_J_0.1,-0.4,0.1,15.4,0.4770203716754779,0.0009845687685721067,0.12297962832452203,1.938751320095189e-06
alpha_-0.4_J_0.1,-0.4,0.1,15.5,0.4774753988032211,0.0009725568345787124,0.12252460119677888,1.89173359297153e-06
alpha_-0.4_J_0.1,-0.4,0.1,15.6,0.47792141579015357,0.0009607347315873459,0.12207858420984641,1.846022448956419e-06
alpha_-0.4_J_0.1,-0.4,0.1,15.700000000000001,0.47835860104901706,0.0009490982465606312,0.12164139895098292,1.8015749632489294e-06
alpha_-0.4_J_0.1,-0.4,0.1,15.8,0.47878712945974433,0.0009376432897938295,0.12121287054025565,1.7583498777907907e-06
alpha_-0.4_J_0.1,-0.4,0.1,15.9,0.4792071724394134,0.0009263658906109332,0.12079282756058662,1.7163075265747747e-06
alpha_-0.4_J_0.1,-0.4,0.1,16.0,0.4796188980108169,0.0009152621932307783,0.12038110198918306,1.675409764715229e-06
alpha_-0.4_J_0.1,-0.4,0.1,16.1,0.48002247086967303,0.0009043284527957024,0.119977529130327,1.6356199010717381e-06
alpha_-0.4_J_0.1,-0.4,0.1,16.2,0.48041805245050645,0.000893561031555634,0.11958194754949358,1.5969026342295376e-06
alpha_-0.4_J_0.1,-0.4,0.1,16.3,0.480805800991224,0.0008829563952008453,0.11919419900877604,1.5592239916521427e-06
alpha_-0.4_J_0.1,-0.4,0.1,16.4,0.4811858715964119,0.0008725111093369257,0.11881412840358807,1.5225512718327054e-06
alpha_-0.4_J_0.1,-0.4,0.1,16.5,0.48155841629938,0.0008622218360958401,0.11844158370061997,1.4868529892809633e-06
alpha_-0.4_J_0.1,-0.4,0.1,16.6,0.4819235841229768,0.0008520853308772286,0.11807641587702322,1.4520988221923125e-06
alpha_-0.4_J_0.1,-0.4,0.1,16.7,0.4822815211392007,0.0008420984392143808,0.11771847886079934,1.4182595626545925e-06
alpha_-0.4_J_0.1,-0.4,0.1,16.8,0.48263237052763075,0.0008322580937595818,0.11736762947236923,1.3853070692566656e-06
alpha_-0.4_J_0.1,-0.4,0.1,16.9,0.4829762726327003,0.0008225613113837731,0.11702372736729971,1.3532142219707851e-06
alpha_-0.4_J_0.1,-0.4,0.1,17.0,0.48331336501983696,0.000813005190385712,0.11668663498016307,1.3219548791882155e-06
alpha_-0.4_J_0.1,-0.4,0.1,17.1,0.4836437825304901,0.0008035869078060311,0.11635621746950986,1.2915038367945175e-06
alpha_-0.4_J_0.1,-0.4,0.1,17.2,0.4839676573360696,0.0007943037168418193,0.11603234266393037,1.2618367891774581e-06
alpha_-0.4_J_0.1,-0.4,0.1,17.3,0.48428511899081617,0.0007851529443575418,0.11571488100918381,1.2329302920666342e-06
alpha_-0.4_J_0.1,-0.4,0.1,17.400000000000002,0.48459629448362446,0.0007761319884883124,0.11540370551637558,1.2047617271096436e-06
alpha_-0.4_J_0.1,-0.4,0.1,17.5,0.48490130828884076,0.0007672383163317083,0.11509869171115927,1.177309268095029e-06
alpha_-0.4_J_0.1,-0.4,0.1,17.6,0.485200282416054,0.0007584694617244997,0.11479971758394603,1.1505518487373046e-06
alpha_-0.4_J_0.1,-0.4,0.1,17.7,0.48549333645890147,0.0007498230231008189,0.11450666354109851,1.1244691319441024e-06
alpha_-0.4_J_0.1,-0.4,0.1,17.8,0.48578058764290777,0.0007412966614284628,0.11421941235709221,1.09904148048997e-06
alpha_-0.4_J_0.1,-0.4,0.1,17.900000000000002,0.4860621508723765,0.0007328880982201568,0.1139378491276235,1.0742499290255164e-06
