modele,scenario,temps,variable_1,valeur_1,variable_2,valeur_2,variable_3,valeur_3
germes_reference,alpha_-0.4_J_0.1,1.18,q_configuration,0.02622862087421902,n,0.10510966303359862,,
germes_reference,alpha_-0.4_J_0.1,1.19,q_configuration,0.026099062960072153,n,0.10589865445311478,,
germes_reference,alpha_-0.4_J_0.1,1.2,q_configuration,0.025970351454167935,n,0.1066860694667233,,
germes_reference,alpha_-0.4_J_0.1,1.21,q_configuration,0.025842479714102796,n,0.10747191122408525,,
germes_reference,alpha_-0.4_J_0.1,1.22,q_configuration,0.02571544115754695,n,0.10825618286856874,,
germes_reference,alpha_-0.4_J_0.1,1.23,q_configuration,0.025589229261631673,n,0.10903888753726136,,
germes_reference,alpha_-0.4_J_0.1,1.24,q_configuration,0.02546383756234354,n,0.10982002836098287,,
germes_reference,alpha_-0.4_J_0.1,1.25,q_configuration,0.02533925965392555,n,0.11059960846429756,,
germes_reference,alpha_-0.4_J_0.1,1.26,q_configuration,0.025215489188285034,n,0.11137763096552693,,
germes_reference,alpha_-0.4_J_0.1,1.27,q_configuration,0.025092519874408283,n,0.11215409897676198,,
germes_reference,alpha_-0.4_J_0.1,1.28,q_configuration,0.024970345477781777,n,0.11292901560387582,,
germes_reference,alpha_-0.4_J_0.1,1.29,q_configuration,0.024848959819819983,n,0.11370238394653598,,
germes_reference,alpha_-0.4_J_0.1,1.3,q_configuration,0.024728356777299586,n,0.11447420709821686,,
germes_reference,alpha_-0.4_J_0.1,1.31,q_configuration,0.024608530281800114,n,0.1152444881462121,,
germes_reference,alpha_-0.4_J_0.1,1.32,q_configuration,0.024489474319150845,n,0.11601323017164691,,
germes_reference,alpha_-0.4_J_0.1,1.33,q_configuration,0.02437118292888395,n,0.11678043624949044,,
germes_reference,alpha_-0.4_J_0.1,1.34,q_configuration,0.02425365020369377,n,0.117546109448568,,
germes_reference,alpha_-0.4_J_0.1,1.35,q_configuration,0.024136870288902136,n,0.11831025283157341,,
germes_reference,alpha_-0.4_J_0.1,1.36,q_configuration,0.024020837381929734,n,0.11907286945508123,,
germes_reference,alpha_-0.4_J_0.1,1.37,q_configuration,0.023905545731773323,n,0.11983396236955897,,
germes_reference,alpha_-0.4_J_0.1,1.3800000000000001,q_configuration,0.023790989638488823,n,0.1205935346193793,,
germes_reference,alpha_-0.4_J_0.1,1.3900000000000001,q_configuration,0.023677163452680183,n,0.12135158924283224,,
germes_reference,alpha_-0.4_J_0.1,1.4000000000000001,q_configuration,0.023564061574993928,n,0.12210812927213728,,
germes_reference,alpha_-0.4_J_0.1,1.41,q_configuration,0.023451678455619344,n,0.12286315773345552,,
germes_reference,alpha_-0.4_J_0.1,1.42,q_configuration,0.023340008593794214,n,0.12361667764690187,,
germes_reference,alpha_-0.4_J_0.1,1.43,q_configuration,0.023229046537316046,n,0.12436869202655698,,
germes_reference,alpha_-0.4_J_0.1,1.44,q_configuration,0.023118786882058734,n,0.12511920388047934,,
germes_reference,alpha_-0.4_J_0.1,1.45,q_configuration,0.02300922427149456,n,0.1258682162107174,,
germes_reference,alpha_-0.4_J_0.1,1.46,q_configuration,0.0229003533962215,n,0.12661573201332144,,
germes_reference,alpha_-0.4_J_0.1,1.47,q_configuration,0.022792168993495725,n,0.1273617542783557,,
germes_reference,alpha_-0.4_J_0.1,1.48,q_configuration,0.022684665846769318,n,0.1281062859899102,,
germes_reference,alpha_-0.4_J_0.1,1.49,q_configuration,0.02257783878523303,n,0.1288493301261128,,
germes_reference,alpha_-0.4_J_0.1,1.5,q_configuration,0.022471682683364115,n,0.1295908896591411,,
germes_reference,alpha_-0.4_J_0.1,1.51,q_configuration,0.02236619246047912,n,0.1303309675552341,,
germes_reference,alpha_-0.4_J_0.1,1.52,q_configuration,0.022261363080291592,n,0.13106956677470444,,
germes_reference,alpha_-0.4_J_0.1,1.53,q_configuration,0.02215718955047464,n,0.13180669027194997,,
germes_reference,alpha_-0.4_J_0.1,1.54,q_configuration,0.02205366692222829,n,0.13254234099546566,,
germes_reference,alpha_-0.4_J_0.1,1.55,q_configuration,0.021950790289851595,n,0.13327652188785538,,
germes_reference,alpha_-0.4_J_0.1,1.56,q_configuration,0.0218485547903194,n,0.1340092358858437,,
germes_reference,alpha_-0.4_J_0.1,1.57,q_configuration,0.021746955602863736,n,0.1347404859202876,,
germes_reference,alpha_-0.4_J_0.1,1.58,q_configuration,0.021645987948559802,n,0.13547027491618813,,
germes_reference,alpha_-0.4_J_0.1,1.59,q_configuration,0.02154564708991643,n,0.1361986057927023,,
germes_reference,alpha_-0.4_J_0.1,1.6,q_configuration,0.02144592833047104,n,0.13692548146315456,,
germes_reference,alpha_-0.4_J_0.1,1.61,q_configuration,0.021346827014388964,n,0.13765090483504858,,
germes_reference,alpha_-0.4_J_0.1,1.62,q_configuration,0.021248338526067157,n,0.13837487881007882,,
germes_reference,alpha_-0.4_J_0.1,1.6300000000000001,q_configuration,0.021150458289742182,n,0.1390974062841421,,
germes_reference,alpha_-0.4_J_0.1,1.6400000000000001,q_configuration,0.021053181769102453,n,0.13981849014734934,,
germes_reference,alpha_-0.4_J_0.1,1.6500000000000001,q_configuration,0.02095650446690468,n,0.14053813328403694,,
germes_reference,alpha_-0.4_J_0.1,1.6600000000000001,q_configuration,0.020860421924594443,n,0.1412563385727784,,
germes_reference,alpha_-0.4_J_0.1,1.67,q_configuration,0.02076492972193089,n,0.14197310888639578,,
germes_reference,alpha_-0.4_J_0.1,1.68,q_configuration,0.020670023476615465,n,0.14268844709197134,,
germes_reference,alpha_-0.4_J_0.1,1.69,q_configuration,0.020575698843924635,n,0.14340235605085888,,
germes_reference,alpha_-0.4_J_0.1,1.7,q_configuration,0.020481951516346582,n,0.14411483861869515,,
germes_reference,alpha_-0.4_J_0.1,1.71,q_configuration,0.020388777223221796,n,0.14482589764541137,,
germes_reference,alpha_-0.4_J_0.1,1.72,q_configuration,0.020296171730387516,n,0.14553553597524463,,
germes_reference,alpha_-0.4_J_0.1,1.73,q_configuration,0.020204130839826008,n,0.14624375644674917,,
germes_reference,alpha_-0.4_J_0.1,1.74,q_configuration,0.02011265038931659,n,0.1469505618928078,,
germes_reference,alpha_-0.4_J_0.1,1.75,q_configuration,0.020021726252091393,n,0.1476559551406433,,
germes_reference,alpha_-0.4_J_0.1,1.76,q_configuration,0.0199313543364948,n,0.14835993901182956,,
germes_reference,alpha_-0.4_J_0.1,1.77,q_configuration,0.019841530585646517,n,0.149062516322303,,
germes_reference,alpha_-0.4_J_0.1,1.78,q_configuration,0.019752250977108247,n,0.14976368988237382,,
germes_reference,alpha_-0.4_J_0.1,1.79,q_configuration,0.019663511522553904,n,0.15046346249673717,,
germes_reference,alpha_-0.4_J_0.1,1.8,q_configuration,0.01957530826744335,n,0.1511618369644845,,
germes_reference,alpha_-0.4_J_0.1,1.81,q_configuration,0.01948763729069958,n,0.15185881607911453,,
germes_reference,alpha_-0.4_J_0.1,1.82,q_configuration,0.019400494704389377,n,0.1525544026285447,,
germes_reference,alpha_-0.4_J_0.1,1.83,q_configuration,0.01931387665340729,n,0.15324859939512214,,
germes_reference,alpha_-0.4_J_0.1,1.84,q_configuration,0.019227779315163025,n,0.1539414091556348,,
germes_reference,alpha_-0.4_J_0.1,1.85,q_configuration,0.019142198899272104,n,0.1546328346813227,,
germes_reference,alpha_-0.4_J_0.1,1.86,q_configuration,0.019057131647249814,n,0.1553228787378888,,
germes_reference,alpha_-0.4_J_0.1,1.87,q_configuration,0.018972573832208378,n,0.1560115440855103,,
germes_reference,alpha_-0.4_J_0.1,1.8800000000000001,q_configuration,0.018888521758557326,n,0.1566988334788495,,
germes_reference,alpha_-0.4_J_0.1,1.8900000000000001,q_configuration,0.01880497176170702,n,0.15738474966706487,,
germes_reference,alpha_-0.4_J_0.1,1.9000000000000001,q_configuration,0.018721920207775307,n,0.15806929539382208,,
germes_reference,alpha_-0.4_J_0.1,1.9100000000000001,q_configuration,0.018639363493297253,n,0.15875247339730497,,
germes_reference,alpha_-0.4_J_0.1,1.92,q_configuration,0.018557298044937918,n,0.15943428641022644,,
germes_reference,alpha_-0.4_J_0.1,1.93,q_configuration,0.018475720319208157,n,0.16011473715983948,,
germes_reference,alpha_-0.4_J_0.1,1.94,q_configuration,0.018394626802183397,n,0.16079382836794798,,
germes_reference,alpha_-0.4_J_0.1,1.95,q_configuration,0.018314014009225353,n,0.16147156275091765,,
germes_reference,alpha_-0.4_J_0.1,1.96,q_configuration,0.01823387848470666,n,0.16214794301968696,,
germes_reference,alpha_-0.4_J_0.1,1.97,q_configuration,0.01815421680173837,n,0.1628229718797779,,
germes_reference,alpha_-0.4_J_0.1,1.98,q_configuration,0.01807502556190033,n,0.16349665203130678,,
germes_reference,alpha_-0.4_J_0.1,1.99,q_configuration,0.017996301394974306,n,0.1641689861689951,,
germes_reference,alpha_-0.4_J_0.1,2.0,q_configuration,0.017918040958679955,n,0.16483997698218036,,
germes_reference,alpha_-0.4_J_0.1,2.0100000000000002,q_configuration,0.017840240938413496,n,0.16550962715482667,,
germes_reference,alpha_-0.4_J_0.1,2.02,q_configuration,0.017762898046989127,n,0.16617793936553557,,
germes_reference,alpha_-0.4_J_0.1,2.0300000000000002,q_configuration,0.0176860090243831,n,0.16684491628755685,,
germes_reference,alpha_-0.4_J_0.1,2.04,q_configuration,0.017609570637480466,n,0.16751056058879907,,
germes_reference,alpha_-0.4_J_0.1,2.05,q_configuration,0.017533579679824454,n,0.1681748749318403,,
germes_reference,alpha_-0.4_J_0.1,2.06,q_configuration,0.017458032971368408,n,0.16883786197393888,,
germes_reference,alpha_-0.4_J_0.1,2.07,q_configuration,0.017382927358230327,n,0.16949952436704377,,
germes_reference,alpha_-0.4_J_0.1,2.08,q_configuration,0.017308259712449918,n,0.17015986475780548,,
germes_reference,alpha_-0.4_J_0.1,2.09,q_configuration,0.01723402693174816,n,0.17081888578758642,,
germes_reference,alpha_-0.4_J_0.1,2.1,q_configuration,0.017160225939289345,n,0.17147659009247163,,
germes_reference,alpha_-0.4_J_0.1,2.11,q_configuration,0.017086853683445574,n,0.17213298030327914,,
germes_reference,alpha_-0.4_J_0.1,2.12,q_configuration,0.01701390713756366,n,0.17278805904557074,,
germes_reference,alpha_-0.4_J_0.1,2.13,q_configuration,0.01694138329973445,n,0.1734418289396622,,
germes_reference,alpha_-0.4_J_0.1,2.14,q_configuration,0.016869279192564486,n,0.17409429260063405,,
germes_reference,alpha_-0.4_J_0.1,2.15,q_configuration,0.01679759186295003,n,0.17474545263834174,,
germes_reference,alpha_-0.4_J_0.1,2.16,q_configuration,0.01672631838185339,n,0.1753953116574263,,
germes_reference,alpha_-0.4_J_0.1,2.17,q_configuration,0.016655455844081533,n,0.1760438722573247,,
germes_reference,alpha_-0.4_J_0.1,2.18,q_configuration,0.01658500136806698,n,0.1766911370322802,,
